frequency,real,imaginary
0.0115480325721,0.00619665937152,-0.00558261455466
0.0147688817333,0.00542734516766,-0.00486872915913
0.019568050163,0.00480476970676,-0.00402361133635
0.0247227277317,0.00436998550865,-0.00343581177414
0.0324106863485,0.00405853369938,-0.00288113265778
0.0425561911753,0.00382527307055,-0.00236366509585
0.0548980742874,0.00351075339661,-0.00192403988752
0.0722671604765,0.00330935482039,-0.00162580769357
0.0952251239645,0.0031569563792,-0.00135151598933
0.119203670274,0.00304958082855,-0.00114348950479
0.162855283074,0.00293106172076,-0.00094510211618
0.207704914362,0.00286923789085,-0.000798662126984
0.274227294954,0.00277094360128,-0.000673677280945
0.362339706165,0.00271533560741,-0.000575068415958
0.478763657301,0.00265483077308,-0.000488864020319
0.611093180113,0.00261359271571,-0.000429699354106
0.807761882493,0.00257025092426,-0.000377762545759
1.06772466138,0.00252377025257,-0.000343553132711
1.41135150993,0.00247619204567,-0.000315647645259
1.86630139612,0.002452485626,-0.000299393908038
2.38308049624,0.00242840602331,-0.000285988362368
3.15002957064,0.00237793541294,-0.000280064350172
4.16544322527,0.00235137069795,-0.000287111294961
5.50601180075,0.00229908456697,-0.000295660374811
7.28087754078,0.0022708485843,-0.000314190090135
9.29330065588,0.00221571536718,-0.00034030218015
12.2841724906,0.00215950640888,-0.00036943432152
16.2375994674,0.00210211319604,-0.000401228110604
20.7175032287,0.00201823764509,-0.000432199523041
27.3742773623,0.00193255671631,-0.000465794612223
36.1415330755,0.00180073241397,-0.000470718618858
47.7354640269,0.00169731909178,-0.000464995219032
60.8816016317,0.00159863428029,-0.000441635267021
80.4119597948,0.00150396046694,-0.000403459083989
106.207509407,0.00141263573173,-0.000351702600417
140.278076586,0.00132342461903,-0.0002879147136
191.948493507,0.00125992850597,-0.000215653582105
253.723460681,0.00121944148285,-0.000139846877201
312.598262458,0.00115023453644,-5.180509767e-05
